params,accuracy,recall,auc,recall_std
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': True, 'activation': 'relu', 'optimizer': 'adam', 'batch_size': 16}",0.8307692307692308,0.8447660098522167,0.8842045454545454,0.0607657232722761
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': True, 'activation': 'relu', 'optimizer': 'adam', 'batch_size': 32}",0.7435897435897436,0.8704741379310346,0.6893881549484998,0.16698400476632555
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': True, 'activation': 'relu', 'optimizer': 'adam', 'batch_size': 64}",0.5897435897435898,0.48959359605911335,0.7861402821316614,0.2478911699782193
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': True, 'activation': 'relu', 'optimizer': 'rmsprop', 'batch_size': 16}",0.8102564102564103,0.8846059113300493,0.8758872592924318,0.06321177966412553
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': True, 'activation': 'relu', 'optimizer': 'rmsprop', 'batch_size': 32}",0.7230769230769231,0.7644396551724137,0.7857260412001791,0.15966264319305
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': True, 'activation': 'relu', 'optimizer': 'rmsprop', 'batch_size': 64}",0.717948717948718,0.7630541871921183,0.6912987012987013,0.15512470922039226
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': True, 'activation': 'tanh', 'optimizer': 'adam', 'batch_size': 16}",0.7897435897435898,0.7898399014778326,0.902296238244514,0.12231978182294531
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': True, 'activation': 'tanh', 'optimizer': 'adam', 'batch_size': 32}",0.8,0.8577586206896551,0.8386520376175548,0.1639744912153175
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': True, 'activation': 'tanh', 'optimizer': 'adam', 'batch_size': 64}",0.6923076923076923,0.6680110837438422,0.7628599417823556,0.16364406021244976
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': True, 'activation': 'tanh', 'optimizer': 'rmsprop', 'batch_size': 16}",0.7794871794871795,0.808743842364532,0.7881801388266906,0.12526368121813358
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': True, 'activation': 'tanh', 'optimizer': 'rmsprop', 'batch_size': 32}",0.8,0.8519704433497537,0.7791681594267801,0.09635044869673023
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': True, 'activation': 'tanh', 'optimizer': 'rmsprop', 'batch_size': 64}",0.676923076923077,0.6158559113300492,0.803736565158979,0.10683611106564056
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': False, 'activation': 'relu', 'optimizer': 'adam', 'batch_size': 16}",0.7538461538461539,0.6823891625615763,0.8701612180922526,0.08289778353481227
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': False, 'activation': 'relu', 'optimizer': 'adam', 'batch_size': 32}",0.7179487179487178,0.6620997536945812,0.8441519256605463,0.0848902130961046
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': False, 'activation': 'relu', 'optimizer': 'adam', 'batch_size': 64}",0.7128205128205128,0.7447967980295567,0.6822615315718764,0.12160107814119424
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': False, 'activation': 'relu', 'optimizer': 'rmsprop', 'batch_size': 16}",0.7076923076923076,0.6681958128078818,0.860499328257949,0.12297723027635733
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': False, 'activation': 'relu', 'optimizer': 'rmsprop', 'batch_size': 32}",0.7384615384615384,0.8205665024630541,0.765480855351545,0.15501379804712087
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': False, 'activation': 'relu', 'optimizer': 'rmsprop', 'batch_size': 64}",0.7333333333333333,0.6734605911330049,0.8684505150022392,0.07925228499323098
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': False, 'activation': 'tanh', 'optimizer': 'adam', 'batch_size': 16}",0.723076923076923,0.6881465517241379,0.8184717868338558,0.07709253863043515
"{'hidden_layers': [128], 'dropout_rate': 0.1, 'use_batchnorm': False, 'activation': 'tanh', 'optimizer': 'adam', 'batch_size': 32}",0.723076923076923,0.6741995073891625,0.8502748544558889,0.09704644480215092
